name||price||brand||size_value||size_unit||category||subcategory||url||timestamp
Parle 20-20 Gold Cashew Cookies 604.8 g	₹84.00	PARLE	604.8	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Unibic Cashew Cookies 67.5 g	₹25.00	UNIBIC	67.5	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Britannia Milk Bikis Atta Biscuit 500 g	₹71.00	BRITANNIA	500	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Britannia Nutri Choice 5 Grain Digestive Biscuits 192 g	₹63.00	BRITANNIA	5	Grain	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
McVitie's Bourbon Delight Biscuits 100 g	₹15.00	MCVITIE'S	100	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Parle-G Original Glucose Biscuit 200 g	₹25.00	PARLE	200	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Unibic Cashew Badam Cookies 450 g Pack of 5	₹71.00	UNIBIC	450	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Dukes Nice Sugar Sprinkled Coconut Biscuits 145 g	₹23.00	DUKES	145	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Dukes Waffy Orange Wafers 55 g	₹22.00	DUKES	55	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Unibic Danish Coconut Cookies Family Pack 270 g	₹73.00	UNIBIC	270	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Dukes Waffy Strawberry Wafers 55 g	₹22.00	DUKES	55	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Unibic Oatmeal Digestive Cookies 600 g	₹84.00	UNIBIC	600	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Parle Hide & Seek Milano Chocolate Chip Biscuits 75 g	₹33.00	PARLE	75	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Britannia Treat Strawberry Creme Wafers Biscuits 55 g	₹22.00	TREAT	55	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Dukes Waffy Vanilla Wafers 55 g	₹22.00	DUKES	55	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
Britannia NutriChoice Hi-Fibre Digestive Biscuits 250 g	₹59.00	BRITANNIA	250	g	snacks	biscuit	https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?prod_mart_master_vertical_products_popularity%5Bpage%5D=30	2025-09-21T12:57:47.646097
