name,price,brand,size_value,size_unit,category,subcategory,url
Kellogg'S Froot Loops Original 285 Gm,₹ 217.00,Kellogg'S,285,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Choco Flakes Pouch 1200 Gm,₹ 229.00,Fabsta,1200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Cornflakes Regular Pouch 875 Gm,₹ 199.00,Fabsta,875,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Instant Masala Noodles 420 Gm,₹ 53.00,Fabsta,420,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Fruit N Nut Muesli Pouch 750 Gm,₹ 249.00,Fabsta,750,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Fruit N Nut Desire Muesli Pouch 750 Gm,₹ 229.00,Fabsta,750,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Plain Oats 900 Gm,₹ 95.00,Fabsta,900,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Saffola Classic Masala Oats Pouch 500 Gm,₹ 204.00,Saffola,500,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Veeba American Mustard Salad 310 Gm,₹ 163.93,Veeba,310,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Kellogg'S Fruit & Nut Muesli Box 750 Gm,₹ 338.00,Kellogg'S,750,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Yippee Magic Masala Noodles 360 Gm,₹ 87.30,Yippee,360,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Ching'S Instant Noodle Hot Garlic 240 Gm,₹ 40.00,Ching'S,240,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Yippee Noodles Magic Masala 280 Gm,₹ 58.20,Yippee,280,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Haldiram'S Nagpur Bhujia Sev 1 Kg,₹ 239.00,Haldiram'S Nagpur,1,Kg,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Rite Bite Max Protein Choco Slim 67 Gm,₹ 135.80,Rite Bite,67,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Hersheys Kisses Milk Chocolate 108 Gm,₹ 149.60,Hersheys,108,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta 3D Racket Fryums 200 Gm,₹ 21.00,Fabsta,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta 3D Sixer Fryums 200 Gm,₹ 21.00,Fabsta,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta 3D Triangle Fryums 200 Gm,₹ 21.00,Fabsta,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Penne Popular Pouch 500 Gm,₹ 87.50,Fabsta,500,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Udad Papad 200 Gm,₹ 40.00,Fabsta,200,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Nutella Hazelnut Choco Spead Jar 350 Gm,₹ 339.00,Nutella,350,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Rite Bite Max Protein Fruit Nut 50 Gm,₹ 77.60,Rite Bite,50,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
Fabsta Mixed Fruit Jam 500 Gm,₹ 99.00,Fabsta,500,Gm,diary,,https://www.starquik.com/collections/branded-food,2025-09-20 11:15:59
